##############################
INIT betaVAE, device: cuda
Case Name:
 Re100_smallerCNN_beta0.005_wDecay0_dim2_lr0.0002OneCycleLR1e-05_bs256_epochs1000
##############################
INFO: Start Training 
INFO: Data Summary: N train: 149800,N test: 200,N total 150000
INFO: Dataloader generated, Num train batch = 586 
Num val batch = 1
##############################
INFO: Start Compiling
INFO: Compiling Finished!
Training Re100_smallerCNN_beta0.005_wDecay0_dim2_lr0.0002OneCycleLR1e-05_bs256_epochs1000
Epoch:   1/1000, Loss: 0.9657, Loss_test: 0.9061, MSE: 0.9644, KLD: 1.1432, collapsed:  0, time train: 11.116, time test: 0.100
Epoch:   2/1000, Loss: 0.8411, Loss_test: 0.7778, MSE: 0.8365, KLD: 3.3176, collapsed:  0, time train: 5.680, time test: 0.004
Epoch:   3/1000, Loss: 0.7836, Loss_test: 0.7563, MSE: 0.7781, KLD: 3.4258, collapsed:  0, time train: 5.681, time test: 0.004
Epoch:   4/1000, Loss: 0.7656, Loss_test: 0.7663, MSE: 0.7597, KLD: 3.2861, collapsed:  0, time train: 5.681, time test: 0.004
Epoch:   5/1000, Loss: 0.7545, Loss_test: 0.7702, MSE: 0.7482, KLD: 3.1298, collapsed:  0, time train: 5.682, time test: 0.004
Epoch:   6/1000, Loss: 0.7466, Loss_test: 0.7589, MSE: 0.7398, KLD: 3.0754, collapsed:  0, time train: 5.682, time test: 0.004
Epoch:   7/1000, Loss: 0.7404, Loss_test: 0.7562, MSE: 0.7332, KLD: 2.9994, collapsed:  0, time train: 5.683, time test: 0.004
Epoch:   8/1000, Loss: 0.7352, Loss_test: 0.7562, MSE: 0.7276, KLD: 2.9138, collapsed:  0, time train: 5.683, time test: 0.004
Epoch:   9/1000, Loss: 0.7312, Loss_test: 0.7648, MSE: 0.7232, KLD: 2.8511, collapsed:  0, time train: 5.683, time test: 0.004
Epoch:  10/1000, Loss: 0.7272, Loss_test: 0.7637, MSE: 0.7187, KLD: 2.8080, collapsed:  0, time train: 5.683, time test: 0.004
Epoch:  11/1000, Loss: 0.7242, Loss_test: 0.7687, MSE: 0.7153, KLD: 2.7890, collapsed:  0, time train: 5.682, time test: 0.004
Epoch:  12/1000, Loss: 0.7213, Loss_test: 0.7638, MSE: 0.7119, KLD: 2.7431, collapsed:  0, time train: 5.681, time test: 0.004
Epoch:  13/1000, Loss: 0.7188, Loss_test: 0.7569, MSE: 0.7091, KLD: 2.7102, collapsed:  0, time train: 5.682, time test: 0.004
Epoch:  14/1000, Loss: 0.7171, Loss_test: 0.7660, MSE: 0.7069, KLD: 2.6737, collapsed:  0, time train: 5.682, time test: 0.004
Epoch:  15/1000, Loss: 0.7149, Loss_test: 0.7596, MSE: 0.7043, KLD: 2.6479, collapsed:  0, time train: 5.682, time test: 0.004
Epoch:  16/1000, Loss: 0.7127, Loss_test: 0.7619, MSE: 0.7016, KLD: 2.6293, collapsed:  0, time train: 5.682, time test: 0.004
Epoch:  17/1000, Loss: 0.7120, Loss_test: 0.7579, MSE: 0.7006, KLD: 2.5925, collapsed:  0, time train: 5.683, time test: 0.004
Epoch:  18/1000, Loss: 0.7102, Loss_test: 0.7615, MSE: 0.6984, KLD: 2.5704, collapsed:  0, time train: 5.684, time test: 0.004
Epoch:  19/1000, Loss: 0.7087, Loss_test: 0.7619, MSE: 0.6965, KLD: 2.5566, collapsed:  0, time train: 5.686, time test: 0.004
Epoch:  20/1000, Loss: 0.7077, Loss_test: 0.7626, MSE: 0.6951, KLD: 2.5247, collapsed:  0, time train: 5.685, time test: 0.004
Epoch:  21/1000, Loss: 0.7066, Loss_test: 0.7544, MSE: 0.6939, KLD: 2.5510, collapsed:  0, time train: 5.686, time test: 0.004
Epoch:  22/1000, Loss: 0.7055, Loss_test: 0.7557, MSE: 0.6927, KLD: 2.5594, collapsed:  0, time train: 5.686, time test: 0.004
Epoch:  23/1000, Loss: 0.7031, Loss_test: 0.7557, MSE: 0.6903, KLD: 2.5626, collapsed:  0, time train: 5.686, time test: 0.004
